上任,shàngrèn,to take office
职位,zhíwèi,post
资深,zīshēn,veteran (attributive)
创立,chuànglì,to establish
沏,qī,to steep (tea)
风气,fēngqì,general mood
唯独,wéidú,only
搭档,dādǎng,to cooperate
就职,jiùzhí,to take office
边缘,biānyuán,edge
眼色,yǎnsè,signal made with one's eyes
指标,zhǐbiāo,target
成天,chéngtiān,all day long
吹牛,chuīniú,to talk big
溜,liū,to slip away
等级,děngjí,grade
公道,gōngdào,justice
哼,hēng,to groan
不像话,bùxiànghuà,unreasonable
明明,míngmíng,obviously
欺负,qīfù,to bully
大不了,dàbùle,at worst
展示,zhǎnshì,to reveal
才干,cáigān,ability
计较,jìjiào,to bother about
全力以赴,quánlìyǐfù,to do at all costs
怠慢,dàimàn,to slight
敷衍,fūyǎn,to elaborate (on a theme)
想方设法,xiǎngfāngshèfǎ,to think up every possible method (idiom); to devise ways and means
凑合,còuhé,to bring together
忙碌,mánglù,busy
时光,shíguāng,time
飞跃,fēiyuè,to leap
投诉,tóusù,complaint
激情,jīqíng,passion
年度,niándù,year (e.g. school year
考核,kǎohé,to examine
敬业,jìngyè,to be dedicated to one's work
兢兢业业,jīngjīngyèyè,cautious and conscientious
回报,huíbào,(in) return
当初,dāngchū,at that time
技巧,jìqiǎo,skill
传授,chuánshòu,to impart
人格,réngé,personality
施展,shīzhǎn,to use fully
时机,shíjī,fortunate timing
